timestamp,beats per minute,data source
2017-10-08T00:56:50Z,64.0,Charge HR
2017-10-08T00:57:00Z,65.0,Charge HR
2017-10-08T00:57:05Z,66.0,Charge HR
2017-10-08T00:57:15Z,67.0,Charge HR
2017-10-08T00:57:20Z,68.0,Charge HR
2017-10-08T00:57:30Z,69.0,Charge HR
2017-10-08T00:57:35Z,68.0,Charge HR
2017-10-08T00:57:40Z,72.0,Charge HR
2017-10-08T00:57:50Z,69.0,Charge HR
2017-10-08T00:58:00Z,68.0,Charge HR
2017-10-08T00:58:05Z,67.0,Charge HR
2017-10-08T00:58:20Z,65.0,Charge HR
2017-10-08T00:58:30Z,64.0,Charge HR
2017-10-08T00:58:40Z,66.0,Charge HR
2017-10-08T00:58:50Z,67.0,Charge HR
2017-10-08T00:59:00Z,66.0,Charge HR
2017-10-08T00:59:15Z,68.0,Charge HR
2017-10-08T00:59:30Z,67.0,Charge HR
2017-10-08T00:59:40Z,68.0,Charge HR
2017-10-08T00:59:50Z,71.0,Charge HR
2017-10-08T00:59:55Z,71.0,Charge HR
2017-10-08T01:00:10Z,72.0,Charge HR
2017-10-08T01:00:15Z,73.0,Charge HR
2017-10-08T01:00:20Z,74.0,Charge HR
2017-10-08T01:00:25Z,72.0,Charge HR
2017-10-08T01:00:30Z,74.0,Charge HR
2017-10-08T01:00:35Z,73.0,Charge HR
2017-10-08T01:00:40Z,81.0,Charge HR
2017-10-08T01:00:45Z,84.0,Charge HR
2017-10-08T01:01:00Z,80.0,Charge HR
2017-10-08T01:01:10Z,78.0,Charge HR
2017-10-08T01:01:15Z,77.0,Charge HR
2017-10-08T01:01:25Z,72.0,Charge HR
2017-10-08T01:01:30Z,69.0,Charge HR
2017-10-08T01:01:35Z,70.0,Charge HR
2017-10-08T01:01:45Z,69.0,Charge HR
2017-10-08T01:01:50Z,68.0,Charge HR
2017-10-08T01:02:00Z,68.0,Charge HR
2017-10-08T01:02:05Z,69.0,Charge HR
2017-10-08T01:02:10Z,70.0,Charge HR
2017-10-08T01:02:15Z,72.0,Charge HR
2017-10-08T01:02:25Z,75.0,Charge HR
2017-10-08T01:02:30Z,81.0,Charge HR
2017-10-08T01:02:35Z,83.0,Charge HR
2017-10-08T01:02:45Z,83.0,Charge HR
2017-10-08T01:02:50Z,82.0,Charge HR
2017-10-08T01:02:55Z,81.0,Charge HR
2017-10-08T01:03:00Z,83.0,Charge HR
2017-10-08T01:03:05Z,84.0,Charge HR
2017-10-08T01:03:10Z,81.0,Charge HR
2017-10-08T01:03:15Z,80.0,Charge HR
2017-10-08T01:03:25Z,79.0,Charge HR
2017-10-08T01:03:30Z,78.0,Charge HR
2017-10-08T01:03:40Z,76.0,Charge HR
2017-10-08T01:03:45Z,74.0,Charge HR
2017-10-08T01:03:50Z,73.0,Charge HR
2017-10-08T01:04:05Z,70.0,Charge HR
2017-10-08T01:04:15Z,72.0,Charge HR
2017-10-08T01:04:20Z,65.0,Charge HR
2017-10-08T01:04:25Z,65.0,Charge HR
2017-10-08T01:04:40Z,65.0,Charge HR
2017-10-08T01:04:55Z,66.0,Charge HR
2017-10-08T01:05:05Z,67.0,Charge HR
2017-10-08T01:05:20Z,67.0,Charge HR
2017-10-08T01:05:25Z,68.0,Charge HR
2017-10-08T01:05:35Z,69.0,Charge HR
2017-10-08T01:05:50Z,69.0,Charge HR
2017-10-08T01:05:55Z,68.0,Charge HR
2017-10-08T01:06:05Z,67.0,Charge HR
2017-10-08T01:06:15Z,68.0,Charge HR
2017-10-08T01:06:30Z,67.0,Charge HR
2017-10-08T01:06:35Z,67.0,Charge HR
2017-10-08T01:06:40Z,68.0,Charge HR
2017-10-08T01:06:45Z,69.0,Charge HR
2017-10-08T01:06:50Z,68.0,Charge HR
2017-10-08T01:06:55Z,65.0,Charge HR
2017-10-08T01:07:05Z,65.0,Charge HR
2017-10-08T01:07:10Z,65.0,Charge HR
2017-10-08T01:07:20Z,65.0,Charge HR
2017-10-08T01:07:25Z,65.0,Charge HR
2017-10-08T01:07:30Z,66.0,Charge HR
2017-10-08T01:07:40Z,66.0,Charge HR
2017-10-08T01:07:45Z,66.0,Charge HR
2017-10-08T01:08:00Z,64.0,Charge HR
2017-10-08T01:08:10Z,59.0,Charge HR
2017-10-08T01:08:20Z,64.0,Charge HR
2017-10-08T01:08:30Z,62.0,Charge HR
2017-10-08T01:08:40Z,65.0,Charge HR
2017-10-08T01:08:50Z,66.0,Charge HR
2017-10-08T01:09:00Z,70.0,Charge HR
2017-10-08T01:09:10Z,71.0,Charge HR
2017-10-08T01:09:25Z,71.0,Charge HR
2017-10-08T01:09:40Z,71.0,Charge HR
2017-10-08T01:09:50Z,73.0,Charge HR
2017-10-08T01:10:00Z,67.0,Charge HR
2017-10-08T01:10:15Z,68.0,Charge HR
2017-10-08T01:10:30Z,68.0,Charge HR
2017-10-08T01:10:35Z,70.0,Charge HR
2017-10-08T01:10:40Z,71.0,Charge HR
2017-10-08T01:10:45Z,72.0,Charge HR
2017-10-08T01:10:50Z,73.0,Charge HR
2017-10-08T01:10:55Z,75.0,Charge HR
2017-10-08T01:11:05Z,74.0,Charge HR
2017-10-08T01:11:10Z,75.0,Charge HR
2017-10-08T01:11:15Z,82.0,Charge HR
2017-10-08T01:11:20Z,81.0,Charge HR
2017-10-08T01:11:25Z,80.0,Charge HR
2017-10-08T01:11:40Z,81.0,Charge HR
2017-10-08T01:11:45Z,76.0,Charge HR
2017-10-08T01:11:50Z,74.0,Charge HR
2017-10-08T01:11:55Z,72.0,Charge HR
2017-10-08T01:12:00Z,73.0,Charge HR
2017-10-08T01:12:05Z,72.0,Charge HR
2017-10-08T01:12:10Z,73.0,Charge HR
2017-10-08T01:12:15Z,72.0,Charge HR
2017-10-08T01:12:20Z,72.0,Charge HR
2017-10-08T01:12:35Z,75.0,Charge HR
2017-10-08T01:12:40Z,72.0,Charge HR
2017-10-08T01:12:45Z,72.0,Charge HR
2017-10-08T01:12:50Z,71.0,Charge HR
2017-10-08T01:12:55Z,71.0,Charge HR
2017-10-08T01:13:05Z,70.0,Charge HR
2017-10-08T01:13:10Z,69.0,Charge HR
